project-id,recipient-country-details,donor-details,project-title,sector,project-start,project-end,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,ModifyDate,FileName,category,type,id,name,last_modified,file_name,url,mime_type
150208,"[{'recipient-country-code': 'TZ', 'recipient-country': 'United Republic of Tanzania', 'ldc-indicator': 'X', 'region': 'AFRICA'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Promotion of Bio-Ethanol as Alternative Fuel for Cooking in the United Republic of Tanzania,nan,10/19/2015,10/20/2024,Safeguarding the Environ., Clean energy access,2557078.00,2439714.15,6055281,2020-08-08T03:40:41+0000,Annex K_ESMP report Tanzania 9281.pdf,projectDocument,document,6055281,Annex K_ESMP report Tanzania 9281.pdf,2020-08-08T03:40:41+0000,Annex K_ESMP report Tanzania 9281.pdf,https://downloads.unido.org/ot/60/55/6055281/Annex K_ESMP report Tanzania 9281.pdf,application/pdf
150208,"[{'recipient-country-code': 'TZ', 'recipient-country': 'United Republic of Tanzania', 'ldc-indicator': 'X', 'region': 'AFRICA'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Promotion of Bio-Ethanol as Alternative Fuel for Cooking in the United Republic of Tanzania,nan,10/19/2015,10/20/2024,Safeguarding the Environ., Clean energy access,2557078.00,2439714.15,13331906,2020-08-08T08:25:01+0000,Tanzania_EN_150208.pdf,projectDocument,document,13331906,Project Brief Tanzania_150208.pdf,2020-08-08T08:25:01+0000,Tanzania_EN_150208.pdf,https://downloads.unido.org/ot/13/33/13331906/Tanzania_EN_150208.pdf,application/pdf
120368,"[{'recipient-country-code': 'BA', 'recipient-country': 'Bosnia and Herzegovina', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC Phase-Out Management Plan (Stage I),Biosphere protection,7/1/2012,12/31/2023,Safeguarding the Environ., Implementation of MEA,432966.53,402866.78,2227215,2020-08-07T20:06:09+0000,Decision_Bosnia_and_Herz.pdf,projectDocument,document,2227215,Decision Bosnia and Herzegovina.pdf,2020-08-07T20:06:09+0000,Decision_Bosnia_and_Herz.pdf,https://downloads.unido.org/ot/22/27/2227215/Decision_Bosnia_and_Herz.pdf,application/pdf
120368,"[{'recipient-country-code': 'BA', 'recipient-country': 'Bosnia and Herzegovina', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC Phase-Out Management Plan (Stage I),Biosphere protection,7/1/2012,12/31/2023,Safeguarding the Environ., Implementation of MEA,432966.53,402866.78,3263189,2020-08-07T22:17:43+0000,6630.pdf,projectDocument,document,3263189,6630.pdf,2020-08-07T22:17:43+0000,6630.pdf,https://downloads.unido.org/ot/32/63/3263189/6630.pdf,application/pdf
120368,"[{'recipient-country-code': 'BA', 'recipient-country': 'Bosnia and Herzegovina', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC Phase-Out Management Plan (Stage I),Biosphere protection,7/1/2012,12/31/2023,Safeguarding the Environ., Implementation of MEA,432966.53,402866.78,17180898,2020-08-10T18:16:37+0000,Project Proposal.pdf,projectDocument,document,17180898,Project Proposal.pdf,2020-08-10T18:16:37+0000,Project Proposal.pdf,https://downloads.unido.org/ot/17/18/17180898/Project Proposal.pdf,application/pdf
120368,"[{'recipient-country-code': 'BA', 'recipient-country': 'Bosnia and Herzegovina', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC Phase-Out Management Plan (Stage I),Biosphere protection,7/1/2012,12/31/2023,Safeguarding the Environ., Implementation of MEA,432966.53,402866.78,17243022,2020-08-10T18:22:02+0000,"HPMP-Stage I, third tranche.pdf",projectDocument,document,17243022,"HPMP-Stage I, third tranche.pdf",2020-08-10T18:22:02+0000,"HPMP-Stage I, third tranche.pdf","https://downloads.unido.org/ot/17/24/17243022/HPMP-Stage I, third tranche.pdf",application/pdf
120368,"[{'recipient-country-code': 'BA', 'recipient-country': 'Bosnia and Herzegovina', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC Phase-Out Management Plan (Stage I),Biosphere protection,7/1/2012,12/31/2023,Safeguarding the Environ., Implementation of MEA,432966.53,402866.78,17244785,2020-08-10T18:22:17+0000,"HPMP-Stage I, second tranche.pdf",projectDocument,document,17244785,"HPMP-Stage I, second tranche.pdf",2020-08-10T18:22:17+0000,"HPMP-Stage I, second tranche.pdf","https://downloads.unido.org/ot/17/24/17244785/HPMP-Stage I, second tranche.pdf",application/pdf
120368,"[{'recipient-country-code': 'BA', 'recipient-country': 'Bosnia and Herzegovina', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC Phase-Out Management Plan (Stage I),Biosphere protection,7/1/2012,12/31/2023,Safeguarding the Environ., Implementation of MEA,432966.53,402866.78,19674966,2020-12-17T08:59:15+0000,Bosnia and Herzegovina - Verficiation report for HPMP Stage I - Project Concept.pdf,projectDocument,document,19674966,Bosnia and Herzegovina - Verficiation report for HPMP Stage I - Project Concept.pdf,2020-12-17T08:59:15+0000,Bosnia and Herzegovina - Verficiation report for HPMP Stage I - Project Concept.pdf,https://downloads.unido.org/ot/19/67/19674966/Bosnia and Herzegovina - Verficiation report for HPMP Stage I - Project Concept.pdf,application/pdf
190115,"[{'recipient-country-code': 'IR', 'recipient-country': 'Iran (Islamic Republic of)', 'ldc-indicator': '-', 'region': 'ASIA AND PACIFIC'}]","[{'donor': 'Iran, Islamic Republic Of', 'donor-type': 'Member States', 'donor-country-code': 'IR', 'donor-country': 'Iran'}]",Promoting and upscaling innovative SMEs in the Islamic Republic of Iran,Small and medium-sized enterprises (SME) development,6/1/2019,2/22/2023,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1793668.16,433805.36,17221942,2020-05-12T16:05:03+0000,190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,projectDocument,document,17221942,190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,2020-05-12T16:05:03+0000,190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,https://downloads.unido.org/ot/17/22/17221942/190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,application/pdf
230007,"[{'recipient-country-code': 'M0', 'recipient-country': 'Global', 'ldc-indicator': 'N', 'region': 'nan'}]","[{'donor': 'Regular Programme Of Technical Cooperati', 'donor-type': 'RPTC and SRA', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Open Source Technology Repository for AI for Industry and Manufacturing,Industrial development,1/17/2023,12/31/2024,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,22177.58,3521.22,33154169,2024-01-26T10:37:59+0000,230007_Global_SSS_Open_Source_Tech_Repository_for_AI.pdf,projectDocument,document,33154169,Project Document,2024-01-26T10:37:59+0000,230007_Global_SSS_Open_Source_Tech_Repository_for_AI.pdf,https://downloads.unido.org/ot/33/15/33154169/230007_Global_SSS_Open_Source_Tech_Repository_for_AI.pdf,application/pdf
