,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
252,150277,Country Programme for inclusive and sustainable industrial development in the Republic of Moldova 2019-2023,nan,Cross-cutting Services, Regional Programmes,239683.23,193683.12,13339003,20181221_CPF Moldova_Signed.pdf,13339003,UNIDO CP Moldova 2019-2023.pdf,20181221_CPF Moldova_Signed.pdf,https://downloads.unido.org/ot/13/33/13339003/20181221_CPF Moldova_Signed.pdf,application/pdf
256,190185,Country Programme for inclusive and sustainable industrial development in the Republic of Armenia 2022-2026,nan,Cross-cutting Services, Regional Programmes,239219.81,64917.19,23932050,UNIDO CP Armenia 2022-2026.pdf,23932050,UNIDO CP Armenia 2022-2026.pdf,UNIDO CP Armenia 2022-2026.pdf,https://downloads.unido.org/ot/23/93/23932050/UNIDO CP Armenia 2022-2026.pdf,application/pdf
261,210280,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,30000.00,31738.17,24358979,1. Uganda - Kigali HFC phase-down management plan - preparatory funding request.pdf,24358979,1. Uganda - Kigali HFC phase-down management plan - preparatory funding request.pdf,1. Uganda - Kigali HFC phase-down management plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/35/24358979/1. Uganda - Kigali HFC phase-down management plan - preparatory funding request.pdf,application/pdf
262,170043,UNIDO Country Programme 2018-2022 to promote inclusive and sustainable industrial development in Pakistan,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,123578.47,87817.54,15047956,CP Pakistan _ Final _28 08 2019.pdf,15047956,CP Pakistan _ Final _28 08 2019.pdf,CP Pakistan _ Final _28 08 2019.pdf,https://downloads.unido.org/ot/15/04/15047956/CP Pakistan _ Final _28 08 2019.pdf,application/pdf
263,180053,UNIDO Country Program of technical cooperation to promote ISID in Madagascar (2018-2022),Industrial development,Cross-cutting Services, Regional Programmes,217255.30,206498.63,15809427,CP Madagascar 2019-2023_signed.pdf,15809427,CP Madagascar 2019-2023_signed.pdf,CP Madagascar 2019-2023_signed.pdf,https://downloads.unido.org/ot/15/80/15809427/CP Madagascar 2019-2023_signed.pdf,application/pdf
264,190132,Programme for Country Partnership Zambia 2021-2026,Industrial development,Cross-cutting Services, Strengthening Knwl.&Inst.,348049.19,267860.89,26361973,PCP Zambia 2021-2026_signed.pdf,26361973,PCP Zambia 2021-2026_signed.pdf,PCP Zambia 2021-2026_signed.pdf,https://downloads.unido.org/ot/26/36/26361973/PCP Zambia 2021-2026_signed.pdf,application/pdf
265,190162,Master's programme with Saint Joseph University in Beirut,nan,Cross-cutting Services," Pol.Adv., Res., Stat.",58253.57,55748.44,16703987,Prodoc_190162.pdf,16703987,Prodoc_190162.pdf,Prodoc_190162.pdf,https://downloads.unido.org/ot/16/70/16703987/Prodoc_190162.pdf,application/pdf
274,200266,Accelerated business sector engagement and gender equality for inclusive and sustainable industrial development,Industrial development,Cross-cutting Services, Partnership & South-South,340394.59,44702.58,30411160,200266_ProDoc_Business sector ad Gender equality 07042021.pdf,30411160,200266_ProDoc_Business sector ad Gender equality 07042021.pdf,200266_ProDoc_Business sector ad Gender equality 07042021.pdf,https://downloads.unido.org/ot/30/41/30411160/200266_ProDoc_Business sector ad Gender equality 07042021.pdf,application/pdf
275,220231,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,57000.00,25731.52,29892725,Gabon – Kigali HFC Implementation Plan – preparatory funding request.pdf,29892725,1. Gabon – Kigali HFC Implementation Plan – preparatory funding request.pdf,Gabon – Kigali HFC Implementation Plan – preparatory funding request.pdf,https://downloads.unido.org/ot/29/89/29892725/Gabon – Kigali HFC Implementation Plan – preparatory funding request.pdf,application/pdf
276,170020,Académie de conduite de camions en sécurité,Vocational training,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,1306316.17,1306316.16,10978613,ACCES_Project Document.pdf,10978613,ACCES_Project Document.pdf,ACCES_Project Document.pdf,https://downloads.unido.org/ot/10/97/10978613/ACCES_Project Document.pdf,application/pdf
277,220228,Women and youth economic empowerment in Western Ukraine for inclusive and sustainable recovery,Business development services,CreatingShared Prosperity, Women and Youth,569629.79,36894.77,31069816,Project Document Youth_Women_Westukraine_workflow submission for EB_20 March 2023.pdf,31069816,Project Document Youth_Women_Westukraine_workflow submission for EB_20 March 2023.pdf,Project Document Youth_Women_Westukraine_workflow submission for EB_20 March 2023.pdf,https://downloads.unido.org/ot/31/06/31069816/Project Document Youth_Women_Westukraine_workflow submission for EB_20 March 2023.pdf,application/pdf
280,220247,Preparation of Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,40000.00,32365.74,28978323,1. Saint Lucia – KIP – Preparatory funding request.pdf,28978323,1. Saint Lucia – KIP – Preparatory funding request.pdf,1. Saint Lucia – KIP – Preparatory funding request.pdf,https://downloads.unido.org/ot/28/97/28978323/1. Saint Lucia – KIP – Preparatory funding request.pdf,application/pdf
281,200099,Programmatic framework for inclusive and sustainable industrial development - Country Programme Cuba 2021-2025,Industrial development,Cross-cutting Services, Regional Programmes,181648.17,96365.25,23510171,CP Cuba 2021-2025_Signed_English.pdf,23510171,CP Cuba 2021-2025_Signed_English.pdf,CP Cuba 2021-2025_Signed_English.pdf,https://downloads.unido.org/ot/23/51/23510171/CP Cuba 2021-2025_Signed_English.pdf,application/pdf
286,200260,Promotion of climate adaptation-oriented technology and business model innovations and entrepreneurship for resilience-building and job creation in Sierra Leone,Small and medium-sized enterprises (SME) development,Safeguarding the Environ., Clean energy access,9132420.00,8931558.40,30992400,Annex_J_SL_ESMP_final.pdf,30992400,Annex_J_SL_ESMP_final.pdf,Annex_J_SL_ESMP_final.pdf,https://downloads.unido.org/ot/30/99/30992400/Annex_J_SL_ESMP_final.pdf,application/pdf
287,190289,Ghana industrial energy efficiency readiness,nan,Safeguarding the Environ., RECP & LowCarbonPrd,491396.16,476316.01,19966214,"GCF Readiness Proposal - Ghana, UNIDO .pdf",19966214,"GCF Readiness Proposal - Ghana, UNIDO .pdf","GCF Readiness Proposal - Ghana, UNIDO .pdf","https://downloads.unido.org/ot/19/96/19966214/GCF Readiness Proposal - Ghana, UNIDO .pdf",application/pdf
288,200267,Strengthening technical and productive capacities in seven agro industrial chains through good agricultural practices,Agro-industries,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,213636.00,80458.43,23784825,ES_June_2021_200267 CAF_11.11.2021_final.pdf,23784825,ES_June_2021_200267 CAF_11.11.2021_final.pdf,ES_June_2021_200267 CAF_11.11.2021_final.pdf,https://downloads.unido.org/ot/23/78/23784825/ES_June_2021_200267 CAF_11.11.2021_final.pdf,application/pdf
289,210098,Development and inception of a strategy for UNIDO#s Health Industry Initiative,Pharmaceutical production,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,136106.64,121838.72,29878090,210098 Health Industry Initiative (incl. LogFrame).pdf,29878090,210098 Health Industry Initiative (incl. LogFrame).pdf,210098 Health Industry Initiative (incl. LogFrame).pdf,https://downloads.unido.org/ot/29/87/29878090/210098 Health Industry Initiative (incl. LogFrame).pdf,application/pdf
290,190319,Improvement of industrial statistics and development of indicators of industrial performance for policy-relevant analysis in selected countries of Eastern Europe and Central Asia - Phase II,nan,Cross-cutting Services," Pol.Adv., Res., Stat.",929001.74,93315.49,20420844,Project Document_ID 190319.pdf,20420844,Project Document_ID 190319.pdf,Project Document_ID 190319.pdf,https://downloads.unido.org/ot/20/42/20420844/Project Document_ID 190319.pdf,application/pdf
291,210272,HCFC phase-out management plan (stage III),Biosphere protection,Safeguarding the Environ., Implementation of MEA,60000.00,59182.14,24351729,1. Jordan - HPMP Stage III - preparatory funding request.pdf,24351729,1. Jordan - HPMP Stage III - preparatory funding request.pdf,1. Jordan - HPMP Stage III - preparatory funding request.pdf,https://downloads.unido.org/ot/24/35/24351729/1. Jordan - HPMP Stage III - preparatory funding request.pdf,application/pdf
292,210230,Establishment of a multilateral industrial policy forum,nan,Cross-cutting Services," Pol.Adv., Res., Stat.",87638.04,82347.91,30495365,20211214_PRODOC_210230 MIPF.pdf,30495365,20211214_PRODOC_210230 MIPF.pdf,20211214_PRODOC_210230 MIPF.pdf,https://downloads.unido.org/ot/30/49/30495365/20211214_PRODOC_210230 MIPF.pdf,application/pdf
298,210198,Kigali HFC Implementation Plan (Stage I),Chemicals,Safeguarding the Environ., Implementation of MEA,5200390.00,177180.44,22673320,1. Mexico - HFC phase down plan_preparatory funding request.pdf,22673320,1. Mexico - HFC phase down plan_preparatory funding request.pdf,1. Mexico - HFC phase down plan_preparatory funding request.pdf,https://downloads.unido.org/ot/22/67/22673320/1. Mexico - HFC phase down plan_preparatory funding request.pdf,application/pdf
301,210071,Evaluation Work Plan and Budget 2021,nan,Evaluation, Evaluation,281142.03,223417.15,21338547,2021-04-21_EIO Evaluation work plan-budget 2020-21_Update 2021_EB Approved_F.pdf,21338547,2021-04-21_EIO Evaluation work plan-budget 2020-21_Update 2021_EB Approved_F.pdf,2021-04-21_EIO Evaluation work plan-budget 2020-21_Update 2021_EB Approved_F.pdf,https://downloads.unido.org/ot/21/33/21338547/2021-04-21_EIO Evaluation work plan-budget 2020-21_Update 2021_EB Approved_F.pdf,application/pdf
304,230077,Partnering for World Cotton Day 2023,"Textiles, leather and substitutes",CreatingShared Prosperity, Agri. Busin. & Rural Dev.,48440.34,41262.56,31676572,Project 230077_Partnering for World Cotton Day 2023_Final.pdf,31676572,Project 230077_Partnering for World Cotton Day 2023_Final.pdf,Project 230077_Partnering for World Cotton Day 2023_Final.pdf,https://downloads.unido.org/ot/31/67/31676572/Project 230077_Partnering for World Cotton Day 2023_Final.pdf,application/pdf
305,180338,Capacity development programme for investment promotion agencies of least developed countries # UNIDO component,Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,78406.01,77176.29,25116209,180338 Project Document_Final_V22102021.pdf,25116209,180338 Project Document_Final_V22102021.pdf,180338 Project Document_Final_V22102021.pdf,https://downloads.unido.org/ot/25/11/25116209/180338 Project Document_Final_V22102021.pdf,application/pdf
306,180111,Global Cleantech Innovation Programme in Kazakhstan - Promoting cleantech innovation and entrepreneurship in small and medium-sized enterprises for green jobs in Kazakhstan,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., RECP & LowCarbonPrd,1817862.26,1517737.26,30356154,PEA IGTIC UNIDO Signed both sides with dates.pdf,30356154,PEA IGTIC UNIDO Signed both sides with dates.pdf,PEA IGTIC UNIDO Signed both sides with dates.pdf,https://downloads.unido.org/ot/30/35/30356154/PEA IGTIC UNIDO Signed both sides with dates.pdf,application/pdf
307,220103,Integration of electric mobility with renewable energy in peri-urban and rural areas around cities in Côte d'Ivoire,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,50000.00,42822.37,29570742,ESMP_SAP_ID_220103_IVC_E-Mobility.pdf,29570742,ESMP_SAP_ID_220103_IVC_E-Mobility.pdf,ESMP_SAP_ID_220103_IVC_E-Mobility.pdf,https://downloads.unido.org/ot/29/57/29570742/ESMP_SAP_ID_220103_IVC_E-Mobility.pdf,application/pdf
316,210279,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,190000.00,183803.61,24351547,1. Tunisia - Kigali HFC phase-down management plan - preparatory funding request.pdf,24351547,1. Tunisia - Kigali HFC phase-down management plan - preparatory funding request.pdf,1. Tunisia - Kigali HFC phase-down management plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/35/24351547/1. Tunisia - Kigali HFC phase-down management plan - preparatory funding request.pdf,application/pdf
321,100122,"Removal of Technical and Economic Barriers to Initiating the Clean-up Activities for Alpha-HCH, Beta-HCH and Lindane Contaminated Sites at OHIS in Macedonia",Waste management/disposal,Safeguarding the Environ., Implementation of MEA,3100000.00,3080669.60,2341323,GEF 5 UNIDO CEO En Macedonia 4835 signed .pdf,2341323,CEO Endorsement (GEF Project Document 100122),GEF 5 UNIDO CEO En Macedonia 4835 signed .pdf,https://downloads.unido.org/ot/23/41/2341323/GEF 5 UNIDO CEO En Macedonia 4835 signed .pdf,application/pdf
324,220225,The Kigali Implementation Plan to phase down HFC in Côte d'Ivoire,Chemicals,Safeguarding the Environ., Implementation of MEA,57000.00,38011.77,28739505,1. Cote d‘Ivoire – KIP – preparatory funding request.pdf,28739505,1. Cote d‘Ivoire – KIP – preparatory funding request.pdf,1. Cote d‘Ivoire – KIP – preparatory funding request.pdf,https://downloads.unido.org/ot/28/73/28739505/1. Cote d‘Ivoire – KIP – preparatory funding request.pdf,application/pdf
325,230083,UNIDO programme coordination for COP28,nan,Safeguarding the Environ., unassigned,99504.03,58329.98,31439036,Prodoc-UNIDO programme for COP 28.pdf,31439036,Prodoc-UNIDO programme for COP 28.pdf,Prodoc-UNIDO programme for COP 28.pdf,https://downloads.unido.org/ot/31/43/31439036/Prodoc-UNIDO programme for COP 28.pdf,application/pdf
334,210243,Support to the Global Alliance on Circular Economy and Resource Efficiency (GACERE),nan,Safeguarding the Environ., RECP & LowCarbonPrd,467390.65,147609.39,29150361,Project document.pdf,29150361,Project document.pdf,Project document.pdf,https://downloads.unido.org/ot/29/15/29150361/Project document.pdf,application/pdf
335,210190,Preparation of Kigali HFC implementation plan,Biosphere protection,Safeguarding the Environ., Implementation of MEA,55000.00,42067.33,22507087,Senegal HFC phase down plan_preparatory funding request.pdf,22507087,Senegal HFC phase down plan_preparatory funding request.pdf,Senegal HFC phase down plan_preparatory funding request.pdf,https://downloads.unido.org/ot/22/50/22507087/Senegal HFC phase down plan_preparatory funding request.pdf,application/pdf
336,220078,Capacity building programme for Afreximbank and Joint Project Preparation Facility partners in #Project Preparation for Export Manufacturing and Infrastructure Development#,Business development services,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,247787.05,53623.66,32082744,220078 - Project Document Summary.pdf,32082744,220078 - Project Document Summary.pdf,220078 - Project Document Summary.pdf,https://downloads.unido.org/ot/32/08/32082744/220078 - Project Document Summary.pdf,application/pdf
337,200328,HCFC phase-out management plan (stage II),Biosphere protection,Safeguarding the Environ., Implementation of MEA,195000.00,178780.56,19684250,Saudi Arabia _Preparation for HPMP Stage II - Project concept.pdf,19684250,Saudi Arabia _Preparation for HPMP Stage II - Project concept.pdf,Saudi Arabia _Preparation for HPMP Stage II - Project concept.pdf,https://downloads.unido.org/ot/19/68/19684250/Saudi Arabia _Preparation for HPMP Stage II - Project concept.pdf,application/pdf
343,220241,Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,130000.00,63489.32,28747976,1. Bosnia and Herzegovina – KIP Stage I – preparatory funding request.pdf,28747976,1. Bosnia and Herzegovina – KIP Stage I – preparatory funding request.pdf,1. Bosnia and Herzegovina – KIP Stage I – preparatory funding request.pdf,https://downloads.unido.org/ot/28/74/28747976/1. Bosnia and Herzegovina – KIP Stage I – preparatory funding request.pdf,application/pdf
344,230055,Industrial vocational training programme in Africa and Asia through technology transfer from Japan,Small and medium-sized enterprises (SME) development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,819402.65,244161.65,31380316,ProDoc_ID230055_STePP_Vocational_Training_Programme_Final.pdf,31380316,ProDoc_ID230055_STePP_Vocational_Training_Programme_Final.pdf,ProDoc_ID230055_STePP_Vocational_Training_Programme_Final.pdf,https://downloads.unido.org/ot/31/38/31380316/ProDoc_ID230055_STePP_Vocational_Training_Programme_Final.pdf,application/pdf
351,230170,HCFC Phase-out Management Plan (Stage III),Biosphere protection,Safeguarding the Environ., Implementation of MEA,96200.00,43300.12,31174808,"1. Uruguay - HPMP Stage III, second tranche - project document.pdf",31174808,"1. Uruguay - HPMP Stage III, second tranche - project document.pdf","1. Uruguay - HPMP Stage III, second tranche - project document.pdf","https://downloads.unido.org/ot/31/17/31174808/1. Uruguay - HPMP Stage III, second tranche - project document.pdf",application/pdf
356,220070,The Kigali Implementation Plan to phase down HFC in Togo,Chemicals,Safeguarding the Environ., Implementation of MEA,51000.00,44044.50,27278034,1. Togo - Kigali HFC implementation plan – preparatory funding request.docx,27278034,1. Togo - Kigali HFC implementation plan – preparatory funding request.docx,1. Togo - Kigali HFC implementation plan – preparatory funding request.docx,https://downloads.unido.org/ot/27/27/27278034/1. Togo - Kigali HFC implementation plan – preparatory funding request.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
357,230079,Eliminating hazardous chemicals from apparel and fashion supply chain in India,"Textiles, leather and substitutes",Safeguarding the Environ., RECP & LowCarbonPrd,200001.00,79348.45,32167655,2304012 IP11 India child project concept final.pdf,32167655,2304012 IP11 India child project concept final.pdf,2304012 IP11 India child project concept final.pdf,https://downloads.unido.org/ot/32/16/32167655/2304012 IP11 India child project concept final.pdf,application/pdf
358,230058,Establishment of the Global Ocean Energy Alliance,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,53513.68,51423.17,30720111,SSS Global Ocean Energy Alliance.pdf,30720111,SSS Global Ocean Energy Alliance.pdf,SSS Global Ocean Energy Alliance.pdf,https://downloads.unido.org/ot/30/72/30720111/SSS Global Ocean Energy Alliance.pdf,application/pdf
359,210219,Advancing UNIDO best practice on compliance and partner outreach,nan,Cross-cutting Services, Partnership & South-South,191641.83,178560.18,23707166,SAP210219_Compliance and Partnership Prodoc_PCD_Final_04112021.pdf,23707166,SAP210219_Compliance and Partnership Prodoc_PCD_Final_04112021.pdf,SAP210219_Compliance and Partnership Prodoc_PCD_Final_04112021.pdf,https://downloads.unido.org/ot/23/70/23707166/SAP210219_Compliance and Partnership Prodoc_PCD_Final_04112021.pdf,application/pdf
