,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
360,200046,Reinvigorating a business model of strategic engagement with emerging donors: Building the capacities of national counterpart institutions and raising awareness about the benefits of cooperation with UNIDO,Industrial development,Cross-cutting Services, Regional Programmes,257786.67,145494.42,27315914,Project document_200046.pdf,27315914,Project document_200046.pdf,Project document_200046.pdf,https://downloads.unido.org/ot/27/31/27315914/Project document_200046.pdf,application/pdf
361,230054,Deep decarbonization of Thai industries based on the emission trading system and carbon border adjustment mechanism,nan,Safeguarding the Environ., RECP & LowCarbonPrd,114400.00,48117.85,31014827,ESSSupportingDocument_Safeguard Risk Identification Form-NZNP IP (2).pdf,31014827,ESSSupportingDocument_Safeguard Risk Identification Form-NZNP IP (2).pdf,ESSSupportingDocument_Safeguard Risk Identification Form-NZNP IP (2).pdf,https://downloads.unido.org/ot/31/01/31014827/ESSSupportingDocument_Safeguard Risk Identification Form-NZNP IP (2).pdf,application/pdf
362,200176,HCFC phase-out management plan (stage III),Biosphere protection,Safeguarding the Environ., Implementation of MEA,160000.00,157172.70,17650815,Algeria Project Proposal HPMP Stage II.pdf,17650815,Algeria - HPMP Stage II - project preparation,Algeria Project Proposal HPMP Stage II.pdf,https://downloads.unido.org/ot/17/65/17650815/Algeria Project Proposal HPMP Stage II.pdf,application/pdf
363,180045,Rural development and empowerment of the Communitarian Councils of the Choco Department through the sustainable use of natural and mineral resources,Precious metals/materials,Safeguarding the Environ., Implementation of MEA,447167.80,424958.78,15983181,Approved Project Document - Sustainable use of natural and mineral resources.pdf,15983181,Approved Project Document - Sustainable use of natural and mineral resources.pdf,Approved Project Document - Sustainable use of natural and mineral resources.pdf,https://downloads.unido.org/ot/15/98/15983181/Approved Project Document - Sustainable use of natural and mineral resources.pdf,application/pdf
379,210183,Promoting eco-friendly crop protection solutions for persistent organic pollutant and highly hazardous pesticide reduction in Asia,Chemicals,Safeguarding the Environ., Implementation of MEA,7200000.00,134971.87,32675231,ESSSupportingDocument_ANNEX M Environment and Social Management Plan Final.pdf,32675231,ESSSupportingDocument_ANNEX M Environment and Social Management Plan Final.pdf,ESSSupportingDocument_ANNEX M Environment and Social Management Plan Final.pdf,https://downloads.unido.org/ot/32/67/32675231/ESSSupportingDocument_ANNEX M Environment and Social Management Plan Final.pdf,application/pdf
380,190126,Operationalizing UNIDO#s strategic support to small island developing States in line with the SAMOA Pathway,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,290634.25,233619.10,15997091,ProDoc SIDS Strategy_with EB's approval.pdf,15997091,ProDoc SIDS Strategy_with EB's approval.pdf,ProDoc SIDS Strategy_with EB's approval.pdf,https://downloads.unido.org/ot/15/99/15997091/ProDoc SIDS Strategy_with EB's approval.pdf,application/pdf
381,160058,Country Programmatic Framework Plurinational State of Bolivia,nan,Cross-cutting Services, Regional Programmes,227866.56,230897.27,13901546,UNIDO Country Programme (28.08).pdf,13901546,UNIDO Country Programme (28.08).pdf,UNIDO Country Programme (28.08).pdf,https://downloads.unido.org/ot/13/90/13901546/UNIDO Country Programme (28.08).pdf,application/pdf
391,180145,Enhanced work programme Geneva,nan,Exec Direct & Strat Mngt, Exec.Direction & OrgAlign,349657.62,264802.31,13485716,PRODOC_180145.pdf,13485716,PRODOC_180145.pdf,PRODOC_180145.pdf,https://downloads.unido.org/ot/13/48/13485716/PRODOC_180145.pdf,application/pdf
395,210282,Expanding Blue Economy Benefits and Conservation of Critical Biodiversity and Ecosystem Services through Management of Surf Ecosystems,Water resources conservation (including data collection),Safeguarding the Environ., unassigned,50000.00,50000.00,29523414,ESMP_SAP_ID_210282_Regional_Blue_Economy.pdf,29523414,ESMP_SAP_ID_210282_Regional_Blue_Economy.pdf,ESMP_SAP_ID_210282_Regional_Blue_Economy.pdf,https://downloads.unido.org/ot/29/52/29523414/ESMP_SAP_ID_210282_Regional_Blue_Economy.pdf,application/pdf
396,200270,"Connecting blue economy actors: Generating employment, supporting livelihoods and mobilizing resources",nan,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,152663.55,51977.19,26139674,Cabo Verde Prodoc SDG Call Blue Economy 21Mar22_FINAL.docx,26139674,Cabo Verde Prodoc SDG Call Blue Economy 21Mar22_FINAL.docx,Cabo Verde Prodoc SDG Call Blue Economy 21Mar22_FINAL.docx,https://downloads.unido.org/ot/26/13/26139674/Cabo Verde Prodoc SDG Call Blue Economy 21Mar22_FINAL.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
397,220253,Global alliance on artificial intelligence for industry and manufacturing,Technological research and development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,195380.79,72546.26,33017602,ProDoc_ID220253_Alliance_Signed.pdf,33017602,ProDoc_ID220253_Alliance_Signed.pdf,ProDoc_ID220253_Alliance_Signed.pdf,https://downloads.unido.org/ot/33/01/33017602/ProDoc_ID220253_Alliance_Signed.pdf,application/pdf
